"id","showing_id","day_id","cinema_id","payment_type_id","netto_price","brutto_price","ticket_count"
"183","2410","440","3","4","39.99","49.19","4"
"184","2874","1146","20","2","22.99","28.28","3"
"185","3300","799","17","1","29.99","36.89","2"
"186","3600","1162","15","4","19.99","24.59","2"
"187","3860","614","22","4","19.99","24.59","4"
"188","2661","293","25","3","19.99","24.59","4"
"189","518","1088","12","5","19.99","24.59","3"
"190","436","621","19","3","19.99","24.59","2"
"191","2567","481","28","1","19.99","24.59","4"
"192","3832","851","27","4","20.99","25.82","3"
"193","3701","453","33","4","39.99","49.19","4"
"194","326","135","14","1","39.99","49.19","1"
"195","598","205","24","4","21.99","27.05","4"
"196","1912","773","29","1","19.99","24.59","1"
"197","2101","383","5","2","21.99","27.05","3"
"198","2728","93","18","2","29.99","36.89","2"
"199","1987","548","20","1","23.99","29.51","1"
"200","3945","511","19","2","21.99","27.05","2"
"201","2930","297","16","4","21.99","27.05","3"
"202","1605","104","26","4","21.99","27.05","3"
"203","3649","140","15","3","19.99","24.59","1"
"204","1267","1057","5","4","20.99","25.82","2"
"205","841","313","12","5","20.99","25.82","2"
"206","3914","358","9","2","21.99","27.05","2"
"207","717","1337","4","1","19.99","24.59","1"
"208","928","1066","15","5","21.99","27.05","4"
"209","954","324","10","3","19.99","24.59","2"
"210","795","269","27","3","39.99","49.19","1"
"211","1759","1250","23","3","22.99","28.28","1"
"212","167","383","5","2","20.99","25.82","2"
"213","479","1126","17","1","22.99","28.28","3"
"214","3012","315","14","5","29.99","36.89","3"
"215","1534","284","13","4","29.99","36.89","3"
"216","1311","854","2","2","29.99","36.89","4"
"217","2567","37","26","5","20.99","25.82","2"
"218","2945","33","3","5","22.99","28.28","2"
"219","3763","204","16","3","21.99","27.05","4"
"220","3573","852","2","5","39.99","49.19","2"
"221","454","230","2","1","23.99","29.51","1"
"222","3696","870","32","5","39.99","49.19","4"
"223","3891","866","13","5","29.99","36.89","4"
"224","2643","872","15","1","29.99","36.89","1"
"225","3618","359","7","3","29.99","36.89","1"
"226","1173","95","7","2","23.99","29.51","2"
"227","2260","798","22","4","23.99","29.51","3"
"228","3354","1260","30","5","39.99","49.19","3"
"229","2081","1255","9","4","21.99","27.05","1"
"230","1854","214","23","1","23.99","29.51","4"
"231","2339","490","26","3","23.99","29.51","1"
"232","2849","205","4","4","39.99","49.19","4"
"233","1594","635","18","3","20.99","25.82","1"
"234","2635","1375","15","3","29.99","36.89","2"
"235","2606","521","32","3","20.99","25.82","1"
"236","813","1048","3","4","23.99","29.51","1"
"237","1100","392","17","4","20.99","25.82","3"
"238","2868","250","32","4","23.99","29.51","4"
"239","2176","1367","17","3","23.99","29.51","1"
"240","3543","936","18","2","23.99","29.51","2"
"241","1996","269","8","3","23.99","29.51","4"
"242","2993","1045","13","2","19.99","24.59","4"
"243","573","162","29","3","29.99","36.89","4"
"244","2622","104","20","4","23.99","29.51","3"
"245","3036","45","26","3","21.99","27.05","2"
"246","1039","520","10","3","19.99","24.59","4"
"247","3975","1131","30","3","20.99","25.82","4"
"248","1117","728","27","2","21.99","27.05","1"
"249","2788","163","32","4","39.99","49.19","2"
"250","3657","246","24","5","20.99","25.82","1"
"251","3753","614","19","3","23.99","29.51","1"
"252","3028","72","28","3","29.99","36.89","1"
"253","1043","651","10","5","22.99","28.28","2"
"254","2872","790","32","1","22.99","28.28","1"
"255","3286","488","15","3","23.99","29.51","2"
"256","2173","115","9","1","20.99","25.82","1"
"257","748","1357","22","4","39.99","49.19","4"
"258","3280","280","11","4","22.99","28.28","3"
"259","1007","660","5","3","22.99","28.28","3"
"260","3206","695","32","4","21.99","27.05","2"
"261","3525","767","29","4","21.99","27.05","4"
"262","2091","1441","12","1","19.99","24.59","3"
"263","1534","613","7","4","19.99","24.59","4"
"264","1584","978","5","3","20.99","25.82","2"
"265","68","823","28","1","21.99","27.05","2"
"266","596","1434","23","1","21.99","27.05","2"
"267","261","994","29","5","22.99","28.28","1"
"268","3092","232","24","1","22.99","28.28","2"
"269","3262","276","18","4","21.99","27.05","2"
"270","3255","127","28","3","21.99","27.05","3"
"271","2100","360","30","3","19.99","24.59","2"
"272","2838","1091","16","3","29.99","36.89","2"
"273","73","22","28","4","22.99","28.28","1"
"274","1664","1332","22","4","22.99","28.28","4"
"275","3707","1029","30","5","19.99","24.59","3"
"276","1789","1241","23","1","22.99","28.28","1"
"277","1548","117","30","3","21.99","27.05","3"
"278","697","708","27","5","22.99","28.28","3"
"279","3223","191","2","4","39.99","49.19","4"
"280","3031","286","13","5","19.99","24.59","3"
"281","1989","368","2","4","22.99","28.28","2"
"282","785","163","19","5","22.99","28.28","3"
"283","2444","1060","22","5","39.99","49.19","3"
"284","2495","1264","16","4","22.99","28.28","3"
"285","662","620","28","5","23.99","29.51","4"
"286","1693","714","31","1","29.99","36.89","2"
"287","3976","277","10","5","39.99","49.19","2"
"288","1594","816","27","4","29.99","36.89","4"
"289","808","240","32","2","21.99","27.05","3"
"290","327","259","4","2","23.99","29.51","2"
"291","1042","200","27","4","22.99","28.28","3"
"292","1273","14","7","3","22.99","28.28","1"
"293","3177","1185","22","2","19.99","24.59","2"
"294","1887","643","8","3","19.99","24.59","3"
"295","2205","486","3","5","39.99","49.19","4"
"296","759","601","10","4","20.99","25.82","3"
"297","3500","1102","4","2","22.99","28.28","1"
"298","1850","360","14","1","22.99","28.28","4"
"299","20","985","2","3","21.99","27.05","4"
"300","3807","588","17","3","21.99","27.05","4"
"301","2357","950","1","1","39.99","49.19","4"
"302","3703","512","23","5","23.99","29.51","4"
"303","3905","1460","21","4","23.99","29.51","3"
"304","903","327","24","2","23.99","29.51","2"
"305","1330","295","9","1","39.99","49.19","3"
"306","2629","933","6","2","21.99","27.05","2"
"307","400","775","14","2","39.99","49.19","1"
"308","3603","743","1","3","19.99","24.59","4"
"309","1757","406","19","1","21.99","27.05","2"
"310","1207","1066","30","2","23.99","29.51","3"
"311","3243","117","13","5","22.99","28.28","4"
"312","148","1083","22","2","23.99","29.51","2"
"313","2548","1032","18","5","39.99","49.19","2"
"314","1883","153","4","5","21.99","27.05","4"
"315","2932","1191","16","3","19.99","24.59","1"
"316","2737","1221","15","3","20.99","25.82","3"
"317","503","639","31","2","39.99","49.19","3"
"318","2738","1149","4","3","22.99","28.28","3"
"319","3942","461","32","3","22.99","28.28","4"
"320","1109","17","30","3","23.99","29.51","2"
"321","2985","885","1","4","21.99","27.05","2"
"322","2447","765","12","3","39.99","49.19","4"
"323","409","450","27","3","19.99","24.59","3"
"324","2277","663","16","1","19.99","24.59","2"
"325","3396","308","26","1","21.99","27.05","1"
"326","1539","650","27","5","22.99","28.28","4"
"327","2763","22","25","4","23.99","29.51","3"
"328","1320","12","9","3","39.99","49.19","1"
"329","2799","1280","30","4","22.99","28.28","3"
"330","2874","543","1","2","29.99","36.89","3"
"331","2943","1024","16","1","21.99","27.05","3"
"332","2981","803","2","4","29.99","36.89","1"
"333","2087","450","21","3","29.99","36.89","3"
"334","2117","312","23","3","22.99","28.28","4"
"335","2595","51","33","5","20.99","25.82","4"
"336","1234","1188","30","3","29.99","36.89","2"
"337","2354","287","18","2","39.99","49.19","4"
"338","2781","1313","31","3","22.99","28.28","2"
"339","1207","288","14","1","21.99","27.05","1"
"340","1287","149","19","5","22.99","28.28","2"
"341","284","1307","18","4","29.99","36.89","4"
"342","534","486","17","2","22.99","28.28","4"
"343","2842","1332","13","5","22.99","28.28","2"
"344","79","776","21","1","23.99","29.51","2"
"345","1753","1148","8","4","23.99","29.51","2"
"346","3840","1009","6","2","23.99","29.51","3"
"347","1085","1374","9","5","22.99","28.28","3"
"348","1779","432","11","5","22.99","28.28","1"
"349","708","385","3","3","22.99","28.28","1"
"350","1126","20","17","3","23.99","29.51","4"
"351","2323","323","11","1","22.99","28.28","3"
"352","2246","1407","10","4","22.99","28.28","1"
"353","3143","22","14","1","22.99","28.28","2"
"354","811","1298","14","4","23.99","29.51","1"
"355","2250","406","7","5","29.99","36.89","1"
"356","3435","504","33","5","21.99","27.05","4"
"357","679","254","18","1","19.99","24.59","3"
"358","17","795","33","5","22.99","28.28","1"
"359","3289","1440","32","1","39.99","49.19","4"
"360","5","1296","8","3","22.99","28.28","4"
"361","885","872","5","4","21.99","27.05","3"
"362","3319","406","30","3","23.99","29.51","1"
"363","2915","1270","4","3","21.99","27.05","4"
"364","1332","252","22","2","19.99","24.59","4"
"365","1459","262","20","3","19.99","24.59","4"
"366","3639","297","31","1","22.99","28.28","1"
"367","1605","1047","31","3","22.99","28.28","1"
"368","1021","1072","33","2","22.99","28.28","1"
"369","157","46","33","1","22.99","28.28","4"
"370","514","442","19","3","20.99","25.82","2"
"371","2178","471","6","3","21.99","27.05","4"
"372","1585","647","15","3","21.99","27.05","3"
"373","2945","525","4","4","20.99","25.82","2"
"374","3732","776","7","2","19.99","24.59","1"
"375","2969","1021","22","4","29.99","36.89","2"
"376","3458","1108","18","2","19.99","24.59","2"
"377","2498","703","18","3","29.99","36.89","1"
"378","1231","464","27","4","21.99","27.05","4"
"379","1880","799","23","1","19.99","24.59","4"
"380","2664","454","11","5","20.99","25.82","2"
"381","929","788","15","5","39.99","49.19","2"
"382","1444","646","2","1","29.99","36.89","3"
"383","3693","784","20","5","23.99","29.51","4"
"384","2963","679","25","4","23.99","29.51","4"
"385","1341","1442","1","5","39.99","49.19","4"
"386","2096","479","30","3","29.99","36.89","1"
"387","3435","262","27","4","22.99","28.28","2"
"388","235","919","2","1","20.99","25.82","4"
"389","124","1295","32","5","19.99","24.59","2"
"390","701","744","26","2","23.99","29.51","4"
"391","112","1423","29","4","21.99","27.05","2"
"392","3303","747","7","5","22.99","28.28","3"
"393","3299","567","16","2","19.99","24.59","1"
"394","3374","565","14","4","29.99","36.89","2"
"395","149","1280","31","3","22.99","28.28","1"
"396","1123","873","19","2","20.99","25.82","2"
"397","601","1090","21","4","22.99","28.28","1"
"398","166","1079","25","2","23.99","29.51","4"
"399","2117","486","20","1","23.99","29.51","4"
"400","2","1325","3","4","23.99","29.51","3"
"401","3628","1117","6","5","21.99","27.05","3"
"402","3978","1130","23","2","29.99","36.89","2"
"403","152","1002","4","5","23.99","29.51","4"
"404","752","800","32","5","21.99","27.05","3"
"405","3312","491","22","5","22.99","28.28","2"
"406","3446","1445","4","3","39.99","49.19","1"
"407","1199","1171","18","2","19.99","24.59","4"
"408","1196","1375","27","1","19.99","24.59","2"
"409","849","172","15","5","23.99","29.51","4"
"410","2611","549","27","4","23.99","29.51","2"
"411","2171","1395","15","3","19.99","24.59","1"
"412","1267","132","3","2","29.99","36.89","2"
"413","3925","19","20","4","21.99","27.05","2"
"414","336","1065","20","1","23.99","29.51","1"
"415","315","1336","20","5","19.99","24.59","4"
"416","2171","467","17","5","21.99","27.05","3"
"417","2029","462","21","1","20.99","25.82","3"
"418","1952","530","27","1","22.99","28.28","2"
"419","3038","324","22","5","29.99","36.89","4"
"420","261","395","5","4","39.99","49.19","3"
"421","1263","923","5","4","22.99","28.28","3"
"422","2412","414","11","2","22.99","28.28","1"
"423","799","966","23","4","19.99","24.59","2"
"424","1353","599","4","1","29.99","36.89","2"
"425","1620","1418","11","5","22.99","28.28","1"
"426","1708","698","13","1","22.99","28.28","1"
"427","1991","749","25","5","19.99","24.59","1"
"428","1850","1402","8","4","20.99","25.82","2"
"429","3113","1176","2","1","21.99","27.05","3"
"430","159","1381","18","2","19.99","24.59","2"
"431","2574","1399","23","2","22.99","28.28","4"
"432","1073","1291","10","5","21.99","27.05","2"
"433","1901","1180","28","4","23.99","29.51","4"
"434","241","202","4","4","20.99","25.82","3"
"435","3108","861","18","1","29.99","36.89","2"
"436","888","637","10","4","23.99","29.51","1"
"437","1199","131","30","3","19.99","24.59","1"
"438","2175","1163","21","5","19.99","24.59","1"
"439","793","916","27","1","29.99","36.89","3"
"440","266","781","15","1","23.99","29.51","4"
"441","1029","973","4","5","20.99","25.82","2"
"442","2220","29","22","4","29.99","36.89","3"
"443","2060","1416","30","4","22.99","28.28","1"
"444","886","398","22","2","20.99","25.82","3"
"445","3855","462","1","3","23.99","29.51","3"
"446","2806","110","9","4","23.99","29.51","3"
"447","1662","723","13","1","23.99","29.51","4"
"448","963","196","10","2","21.99","27.05","2"
"449","3372","41","11","1","21.99","27.05","1"
"450","909","534","26","5","19.99","24.59","3"
"451","3505","825","18","2","20.99","25.82","4"
"452","3425","1379","12","1","20.99","25.82","1"
"453","3741","1325","30","1","39.99","49.19","4"
"454","1584","1034","32","5","19.99","24.59","1"
"455","3501","1063","19","2","19.99","24.59","3"
"456","2960","914","6","2","22.99","28.28","4"
"457","3077","295","31","5","23.99","29.51","1"
"458","784","1217","1","1","19.99","24.59","4"
"459","281","1056","21","2","19.99","24.59","2"
"460","3282","695","26","1","39.99","49.19","2"
"461","451","116","9","1","19.99","24.59","4"
"462","300","323","4","2","20.99","25.82","1"
"463","2322","547","9","3","29.99","36.89","4"
"464","2975","864","12","5","23.99","29.51","3"
"465","3958","911","8","1","22.99","28.28","4"
"466","3554","1048","21","2","23.99","29.51","4"
"467","382","1140","21","4","19.99","24.59","1"
"468","3563","356","29","5","29.99","36.89","1"
"469","1284","565","19","3","20.99","25.82","3"
"470","3083","945","11","5","23.99","29.51","2"
"471","558","161","16","3","23.99","29.51","1"
"472","1008","309","20","5","29.99","36.89","4"
"473","2597","160","29","5","22.99","28.28","4"
"474","3343","225","13","5","39.99","49.19","4"
"475","3016","524","29","3","29.99","36.89","4"
"476","3711","48","1","5","21.99","27.05","1"
"477","2000","434","1","2","22.99","28.28","2"
"478","3623","125","23","4","22.99","28.28","1"
"479","3895","12","31","2","20.99","25.82","4"
"480","719","1409","3","1","19.99","24.59","4"
"481","2704","465","31","5","39.99","49.19","3"
"482","3011","1030","24","3","19.99","24.59","4"
"483","1522","74","3","3","22.99","28.28","1"
"484","2167","434","1","5","19.99","24.59","1"
"485","3120","1270","1","2","29.99","36.89","4"
"486","2567","252","31","4","20.99","25.82","3"
"487","1806","12","3","5","23.99","29.51","2"
"488","3724","646","23","2","19.99","24.59","4"
"489","3719","257","3","2","21.99","27.05","1"
"490","1456","766","21","1","22.99","28.28","2"
"491","3511","819","2","1","22.99","28.28","3"
"492","2623","903","14","5","29.99","36.89","3"
"493","2661","762","19","1","22.99","28.28","1"
"494","3257","570","24","5","23.99","29.51","3"
"495","2798","304","25","1","21.99","27.05","4"
"496","1468","910","19","3","22.99","28.28","2"
"497","415","697","8","4","19.99","24.59","1"
"498","879","478","18","3","39.99","49.19","1"
"499","874","871","17","5","20.99","25.82","2"
"500","3013","293","8","5","22.99","28.28","3"
"501","937","743","2","5","29.99","36.89","3"
"502","1602","229","10","4","21.99","27.05","4"
"503","1509","953","32","3","21.99","27.05","2"
"504","3457","936","22","4","23.99","29.51","3"
"505","788","152","18","2","29.99","36.89","2"
"506","866","891","5","3","20.99","25.82","2"
"507","425","974","9","5","19.99","24.59","4"
"508","186","1158","25","4","19.99","24.59","3"
"509","1324","1038","12","3","22.99","28.28","4"
"510","3946","634","22","1","22.99","28.28","1"
"511","2352","732","33","3","21.99","27.05","3"
"512","1232","484","24","5","19.99","24.59","4"
"513","1418","188","4","2","23.99","29.51","1"
"514","3107","1288","13","5","29.99","36.89","2"
"515","3192","918","4","3","29.99","36.89","4"
"516","733","931","13","3","39.99","49.19","3"
"517","1769","1116","31","2","19.99","24.59","1"
"518","2865","1138","16","4","21.99","27.05","1"
"519","3402","232","30","3","21.99","27.05","3"
"520","128","811","16","3","39.99","49.19","2"
"521","2363","668","31","2","22.99","28.28","4"
"522","3261","921","2","5","21.99","27.05","3"
"523","1580","1225","21","3","29.99","36.89","2"
"524","3603","1040","16","4","19.99","24.59","1"
"525","394","1092","32","4","39.99","49.19","4"
"526","1961","1336","17","2","29.99","36.89","3"
"527","2162","874","26","5","29.99","36.89","1"
"528","1254","454","15","3","39.99","49.19","3"
"529","661","1031","17","1","19.99","24.59","1"
"530","2233","367","1","5","21.99","27.05","2"
"531","1495","1181","17","5","21.99","27.05","3"
"532","1780","134","18","4","19.99","24.59","2"
"533","1911","1012","17","3","22.99","28.28","4"
"534","3614","625","3","5","21.99","27.05","4"
"535","1675","1253","29","3","23.99","29.51","2"
"536","1449","1437","13","2","21.99","27.05","4"
"537","1975","595","32","5","20.99","25.82","3"
"538","2970","16","4","4","19.99","24.59","4"
"539","2805","1064","14","1","20.99","25.82","3"
"540","2310","1384","21","3","22.99","28.28","2"
"541","3990","57","20","5","21.99","27.05","4"
"542","348","377","32","5","22.99","28.28","2"
"543","320","529","1","2","23.99","29.51","4"
"544","1818","1293","3","1","29.99","36.89","4"
"545","1303","1052","8","5","39.99","49.19","2"
"546","3088","578","4","1","19.99","24.59","2"
"547","1506","511","19","4","20.99","25.82","1"
"548","486","1022","5","5","20.99","25.82","3"
"549","110","576","10","1","29.99","36.89","3"
"550","1622","1346","16","5","21.99","27.05","4"
"551","2472","777","30","4","29.99","36.89","2"
"552","1044","1142","27","5","20.99","25.82","4"
"553","3392","1444","16","4","21.99","27.05","1"
"554","3489","170","29","2","29.99","36.89","2"
"555","942","442","24","2","21.99","27.05","3"
"556","1996","526","33","5","20.99","25.82","3"
"557","1465","819","19","4","39.99","49.19","2"
"558","2114","229","10","5","23.99","29.51","4"
"559","2886","366","19","3","39.99","49.19","1"
"560","1584","144","1","4","19.99","24.59","3"
"561","1102","70","27","2","21.99","27.05","1"
"562","1139","1431","19","4","22.99","28.28","3"
"563","2564","32","24","5","22.99","28.28","1"
"564","3904","90","29","4","19.99","24.59","3"
"565","1934","1262","20","5","29.99","36.89","1"
"566","3714","45","7","3","29.99","36.89","1"
"567","117","618","5","5","21.99","27.05","1"
"568","3665","179","6","3","29.99","36.89","4"
"569","3316","1252","13","1","29.99","36.89","2"
"570","2699","1300","12","3","29.99","36.89","1"
"571","833","1130","15","1","19.99","24.59","4"
"572","2655","904","32","1","23.99","29.51","2"
"573","3430","659","4","2","22.99","28.28","2"
"574","1332","1107","18","3","20.99","25.82","4"
"575","3858","737","1","4","23.99","29.51","3"
"576","419","505","18","5","29.99","36.89","4"
"577","1630","837","27","5","22.99","28.28","1"
"578","2229","608","33","1","22.99","28.28","2"
"579","803","110","26","1","21.99","27.05","2"
"580","2153","275","15","3","23.99","29.51","3"
"581","1528","788","2","1","19.99","24.59","1"
"582","3139","1093","4","5","20.99","25.82","1"
"583","2050","35","6","5","22.99","28.28","4"
"584","3723","290","30","3","23.99","29.51","1"
"585","1047","523","10","3","20.99","25.82","2"
"586","1362","839","31","3","19.99","24.59","2"
"587","2728","417","18","3","39.99","49.19","1"
"588","148","1382","24","2","29.99","36.89","1"
"589","615","1324","20","5","29.99","36.89","2"
"590","1485","710","26","4","22.99","28.28","3"
"591","3089","541","2","2","20.99","25.82","2"
"592","984","967","18","5","22.99","28.28","1"
"593","8","538","32","3","20.99","25.82","4"
"594","69","239","28","5","21.99","27.05","3"
"595","3892","919","1","1","39.99","49.19","4"
"596","3429","1128","9","4","39.99","49.19","2"
"597","2347","362","26","1","22.99","28.28","1"
"598","718","835","3","2","23.99","29.51","2"
"599","853","770","20","1","20.99","25.82","2"
"600","869","716","30","4","22.99","28.28","3"
"601","2503","501","11","3","23.99","29.51","2"
"602","1879","1264","20","2","20.99","25.82","4"
"603","3852","914","21","1","23.99","29.51","4"
